To	O
solve	O
the	O
problems	O
of	O
large	O
connecting	O
force	O
and	O
complexity	O
of	O
large	O
-	O
span	O
structure	B
connecting	O
high	O
-	O
rise	O
buildings	B
in	O
coastal	B
areas	I
under	O
wind	B
and	O
earthquake	B
loads	O
,	O
a	O
hybrid	B
isolation	I
technology	B
based	O
on	O
the	O
friction	B
pendulum	I
bearing	I
and	O
switchable	B
fluid	I
damper	I
was	O
proposed	O
.	O
The	O
damping	O
force	O
characteristic	O
of	O
switchable	O
fluid	O
damper	O
,	O
combining	O
viscous	O
damper	O
and	O
hydraulic	O
valve	O
,	O
was	O
experimentally	O
studied	O
.	O
And	O
a	O
multi	O
-	O
performance	O
objective	O
design	O
method	O
for	O
large	O
-	O
span	O
structure	O
connecting	O
high	O
-	O
rise	O
buildings	O
was	O
proposed	O
in	O
this	O
paper	O
.	O
The	O
results	O
demonstrate	O
that	O
the	O
isolation	B
frequency	B
of	O
the	O
large	O
-	O
span	O
structure	B
should	O
be	O
taken	O
as	O
the	O
optimal	O
frequency	B
of	O
the	O
tuned	B
vibration	I
system	I
to	O
minimize	O
the	O
displacement	B
of	O
high	O
-	O
rise	O
buildings	B
.	O
The	O
switchable	B
damper	I
achieves	O
velocity	B
-	O
dependent	O
damping	B
force	I
and	O
displacement	B
-	O
dependent	O
damping	B
force	I
.	O
Compared	O
with	O
the	O
friction	B
force	I
of	O
the	O
friction	B
pendulum	O
bearing	O
,	O
the	O
displacement	B
-	O
dependent	O
damping	B
force	I
of	O
switchable	B
fluid	I
damper	I
is	O
not	O
affected	O
by	O
the	O
wind	B
load	O
,	O
and	O
the	O
control	O
effect	O
on	O
sliding	B
displacement	I
is	O
better	O
.	O
The	O
velocity	B
-	O
dependent	O
damping	B
force	I
is	O
employed	O
to	O
achieve	O
the	O
seismic	B
performance	I
in	O
cooperation	O
with	O
the	O
friction	B
force	I
of	O
the	O
friction	B
pendulum	I
bearing	I
.	O
