2016	O
LtdThe	O
use	O
of	O
nature	B
-	I
based	I
infrastructure	I
(	I
NBI	I
)	I
has	O
attracted	O
increasing	O
attention	O
in	O
the	O
context	O
of	O
protection	B
against	O
coastal	B
flooding	I
.	O
This	O
review	O
is	O
focused	O
on	O
NBI	B
approaches	O
to	O
improve	O
coastal	B
resilience	I
in	O
the	O
face	O
of	O
extreme	B
storm	I
events	I
,	O
including	O
hurricanes	B
.	O
We	O
not	O
only	O
consider	O
the	O
role	O
of	O
NBI	B
as	O
a	O
measure	O
to	O
protect	O
people	B
and	O
property	B
but	O
also	O
in	O
the	O
context	O
of	O
other	O
ecological	B
goods	I
and	I
services	I
provided	O
by	O
tidal	B
wetlands	I
including	O
production	B
of	O
fish	B
and	O
shellfish	B
.	O
Although	O
the	O
results	O
of	O
many	O
studies	O
suggest	O
that	O
populated	B
areas	I
protected	O
by	O
coastal	B
marshes	I
were	O
less	O
likely	O
to	O
experience	O
damage	B
when	O
exposed	O
to	O
the	O
full	O
force	O
of	O
storm	B
surge	I
,	O
it	O
was	O
absolutely	O
critical	O
to	O
place	O
the	O
role	O
of	O
coastal	B
wetlands	I
into	O
perspective	O
by	O
noting	O
that	O
while	O
tidal	B
marshes	I
can	O
reduce	O
wave	B
energy	I
from	O
low	O
-	O
to	O
-	O
moderate	O
-	O
energy	B
storms	B
,	O
their	O
capacity	O
to	O
substantially	O
reduce	O
storm	B
surge	I
remains	O
poorly	O
quantified	O
.	O
Moreover	O
,	O
although	O
tidal	B
marshes	I
can	O
reduce	O
storm	B
surge	I
from	O
fast	O
moving	O
storms	B
,	O
very	O
large	O
expanses	O
of	O
habitat	B
are	O
needed	O
to	O
be	O
most	O
effective	O
,	O
and	O
for	O
most	O
urban	B
settings	I
,	O
there	O
is	O
insufficient	O
space	O
to	O
rely	O
on	O
nature	B
-	I
based	I
risk	I
reduction	I
strategies	I
alone	O
.	O
The	O
success	O
of	O
a	O
given	O
NBI	B
method	O
is	O
also	O
context	O
dependent	O
on	O
local	B
conditions	I
,	O
with	O
potentially	O
confounding	O
influences	O
from	O
substrate	B
characteristics	I
,	O
topography	B
,	O
near	B
shore	I
bathymetry	B
,	O
distance	B
from	O
the	O
shore	B
and	O
other	O
physical	B
factors	I
and	O
human	B
drivers	I
such	O
as	O
development	B
patterns	I
.	O
Furthermore	O
,	O
it	O
is	O
important	O
to	O
better	O
understand	O
the	O
strengths	O
and	O
weaknesses	O
of	O
newly	O
developed	O
NBI	O
projects	O
through	O
rigorous	O
evaluations	O
and	O
characterize	O
the	O
local	O
specificities	O
of	O
the	O
particular	O
built	O
and	O
natural	O
environments	O
surrounding	O
these	O
coastal	O
areas	O
.	O
In	O
order	O
for	O
the	O
relevant	O
science	B
to	O
better	O
inform	O
policy	B
,	O
and	O
assist	O
in	O
land	B
-	I
use	I
challenges	O
,	O
scientists	B
must	O
clearly	O
state	O
the	O
likelihood	O
of	O
success	O
in	O
a	O
particular	O
circumstance	O
and	O
set	O
of	O
conditions	O
.	O
We	O
conclude	O
that	O
caution	O
is	O
advised	O
before	O
selecting	O
a	O
particular	O
NBI	O
method	O
as	O
there	O
is	O
no	O
one	O
size	O
fits	O
all	O
solution	O
to	O
address	O
site	O
-	O
specific	O
conditions	O
.	O
