2021	O
by	O
the	O
authors	O
.	O
Licensee	O
MDPI	O
,	O
Basel	O
,	O
Switzerland	O
.	O
Coastal	B
flooding	I
is	O
a	O
natural	B
disaster	I
that	O
often	O
occurs	O
in	O
coastal	B
areas	I
.	O
Jakarta	O
is	O
an	O
exam	O
-	O
ple	O
of	O
a	O
location	O
that	O
is	O
highly	O
vulnerable	O
to	O
coastal	B
flooding	I
.	O
Coastal	B
flooding	I
can	O
result	O
in	O
economic	O
and	O
human	O
life	B
losses	B
.	O
Thus	O
,	O
there	O
is	O
a	O
need	O
for	O
a	O
coastal	B
flooding	I
early	B
warning	I
system	I
in	O
vulnerable	O
locations	O
to	O
reduce	O
the	O
threat	O
to	O
the	O
community	O
and	O
strengthen	O
its	O
resilience	O
to	O
coastal	B
flooding	I
disasters	B
.	O
This	O
study	O
aimed	O
to	O
measure	O
the	O
level	O
of	O
public	B
acceptance	O
toward	O
the	O
development	O
of	O
a	O
coastal	B
flooding	I
early	B
warning	I
system	I
of	O
people	B
who	O
live	O
in	O
a	O
coastal	O
region	O
in	O
Jakarta	O
.	O
This	O
knowledge	O
is	O
essential	O
to	O
ensure	O
that	O
the	O
early	O
warning	O
system	O
can	O
be	O
implemented	O
successfully	O
.	O
A	O
survey	O
was	O
conducted	O
by	O
distributing	O
questionnaires	O
to	O
people	O
in	O
the	O
coastal	O
areas	O
of	O
Jakarta	O
.	O
The	O
questionnaire	O
results	O
were	O
analyzed	O
using	O
cross	O
-	O
tabulation	O
and	O
path	O
analysis	O
based	O
on	O
the	O
variables	O
of	O
knowledge	O
,	O
perceptions	O
,	O
and	O
community	O
attitudes	O
towards	O
the	O
development	O
of	O
a	O
coastal	O
flooding	O
early	O
warning	O
system	O
.	O
The	O
survey	O
result	O
shows	O
that	O
the	O
level	O
of	O
public	B
acceptance	O
is	O
excellent	O
,	O
as	O
proven	O
by	O
the	O
average	O
score	O
of	O
the	O
respondents	O
attitude	O
by	O
4	O
.	O
15	O
in	O
agreeing	O
with	O
the	O
establishment	O
of	O
an	O
early	B
warning	I
system	I
to	O
manage	O
coastal	B
flooding	I
.	O
Thus	O
,	O
path	O
analysis	O
shows	O
that	O
knowledge	B
and	O
perception	B
have	O
a	O
weak	O
relationship	O
with	O
community	O
attitudes	O
when	O
responding	O
to	O
the	O
coastal	B
flooding	I
early	O
warning	O
model	O
.	O
The	O
results	O
show	O
that	O
only	O
23	O
%	O
of	O
the	O
communitys	O
responses	O
toward	O
the	O
coastal	O
flooding	O
early	O
warning	O
model	O
can	O
be	O
explained	O
by	O
the	O
communitys	O
knowledge	O
and	O
perceptions	O
.	O
This	O
research	O
is	O
expected	O
to	O
be	O
useful	O
in	O
implementing	O
a	O
coastal	B
flooding	I
early	B
warning	I
system	I
by	O
considering	O
the	O
level	O
of	O
public	B
acceptance	O
.	O
