Trace	B
elements	I
are	O
ubiquitous	B
substances	I
in	O
the	O
marine	B
environment	I
,	O
representing	O
a	O
problematic	O
hazard	B
for	O
organisms	B
since	O
many	O
of	O
them	O
lack	O
any	O
biological	B
function	I
.	O
The	O
main	O
aim	O
of	O
the	O
study	O
was	O
to	O
investigate	O
the	O
variation	O
of	O
the	O
total	B
mercury	I
content	I
(	I
THg	I
)	I
in	O
the	O
Mediterranean	B
sponge	I
Chondrosia	B
reniformis	I
collected	O
in	O
two	O
islands	B
of	O
the	O
Tuscan	B
Archipelago	I
,	O
Italy	B
.	O
The	O
two	O
islands	B
did	O
not	O
show	O
harmful	O
levels	O
of	O
THg	B
(	O
seawater	B
and	O
sediment	B
)	O
and	O
no	O
intraspecific	B
variability	I
was	O
detected	O
in	O
THg	B
values	O
and	O
bioconcentration	B
factors	I
of	O
collected	O
samples	B
.	O
Conversely	O
,	O
THg	B
values	O
recorded	O
in	O
the	O
choanosome	B
of	O
C	B
.	I
reniformis	I
were	O
significantly	O
higher	O
than	O
in	O
the	O
cortex	B
,	O
pointing	O
out	O
a	O
possible	O
involvement	O
of	O
the	O
sponge	B
microbiota	B
in	O
the	O
bioaccumulation	B
process	O
.	O
Our	O
study	O
suggests	O
that	O
C	B
.	I
reniformis	I
could	O
be	O
an	O
attractive	O
bioindicator	B
of	O
toxic	B
elements	I
pollution	I
in	O
coastal	B
waters	I
,	O
highlighting	O
the	O
potential	O
use	O
of	O
these	O
organisms	B
in	O
the	O
monitoring	B
programs	I
of	O
coastal	B
areas	I
,	O
as	O
suggested	O
by	O
various	O
European	B
marine	I
policies	I
.	O
