The	O
diurnal	O
composite	O
of	O
the	O
obtained	O
parameters	O
revealed	O
key	O
processes	O
such	O
as	O
(	O
1	O
)	O
just	O
before	O
the	O
onset	O
of	O
the	O
afternoon	O
convective	B
rain	I
,	O
the	O
lower	B
troposphere	I
was	O
moistened	O
by	O
subarray	B
-	I
scale	I
processes	I
;	O
(	O
2	O
)	O
moistening	B
of	O
the	O
troposphere	B
continued	O
during	O
the	O
convective	B
heavy	I
precipitation	I
;	O
(	O
3	O
)	O
the	O
stratiform	B
rains	I
during	O
the	O
night	O
were	O
partly	O
maintained	O
by	O
consuming	O
the	O
pre	O
-	O
existing	O
hydrometeor	B
aloft	B
;	O
and	O
(	O
4	O
)	O
in	O
the	O
early	O
morning	O
,	O
the	O
clouds	B
redeveloped	O
over	O
the	O
ocean	B
to	O
produce	O
precipitation	B
as	O
well	O
as	O
hydrometeor	B
aloft	B
.	O
