To	O
this	O
end	O
,	O
we	O
sampled	O
benthic	O
macroinvertebrate	O
communities	O
and	O
measured	O
environmental	O
variables	O
(	O
water	O
temperature	O
,	O
dissolved	O
oxygen	O
,	O
conductivity	O
,	O
pH	O
,	O
nitrate	O
,	O
turbidity	O
,	O
blue	O
-	O
green	O
algal	O
phycocyanin	O
,	O
chlorophyll	O
-	O
a	O
)	O
as	O
well	O
as	O
structural	O
parameters	O
(	O
habitat	O
type	O
,	O
lake	O
size	O
,	O
maximum	O
depth	O
)	O
in	O
28	O
lakes	O
within	O
Hohe	O
Tauern	O
National	O
Park	O
,	O
Austria	O
,	O
between	O
altitudes	O
of	O
2	O
,	O
000	O
and	O
2	O
,	O
700	O
m	O
a	O
.	O
s	O
.	O
l	O
.	O
